Name,Latitude,Longitude,Local_type
Elvis (Έλβις),37.981185,23.716327,restaurants
Ραφίκι,37.983353,23.711785,restaurants
Ρακορ,37.980504,23.717213,restaurants
Λάικα,37.98295,23.711553,restaurants
Τα Καραμανλιδικα Του Φανη,37.979968,23.725805,restaurants
Τα Καραμανλίδικα του Φάνη - Μεζετζίδικο,37.977063,23.722809,restaurants
Crust,37.977906,23.725559,restaurants
Match Point,37.991636,23.730872,restaurants
Feyrouz,37.978241,23.727821,restaurants
Falafellas,37.978356,23.727915,restaurants
Anäna,37.979146,23.729015,restaurants
Smak. Athens,37.977447,23.73024,restaurants
Άμα Λάχει στης Νεφέλης,37.987919,23.736821,restaurants
Yiasemi (Γιασεμί),37.973493,23.727897,restaurants
Sushimou,37.974472,23.732407,restaurants
Little Tree Books & Coffee,37.968316,23.72736,restaurants
Billy's,37.96188,23.740505,restaurants
Guarantee,37.96605,23.726135,restaurants
Lotte,37.967143,23.727031,restaurants
Tuk Tuk,37.966126,23.725656,restaurants
Press Cafe,37.971547,23.745,restaurants
Simul,37.977926,23.750412,restaurants
Ο Έλβις,37.967691,23.743554,restaurants
Baba Ghanoush,37.965559,23.743612,restaurants
Naif,37.957171,23.7194,restaurants
Αχιλλέας Σουβλάκια,37.959832,23.733048,restaurants
5Φ,37.972548,23.753588,restaurants
Mind The Cup,38.011807,23.693201,restaurants
Qahwa Coffee Bar,37.991625,23.677926,restaurants
Momo,37.957146,23.701324,restaurants
Lefkes (Λεύκες),38.013535,23.75072,restaurants
Kenko Modish Sushi Bar,37.947263,23.714983,restaurants
Just Pizza,37.972397,23.768007,restaurants
Madania (Μαντανία),37.947683,23.736904,restaurants
Ο Νίκος,37.944522,23.710391,restaurants
Μικρασιάτικο Μεζεδοπωλείο Ζωγράφου,37.975067,23.767902,restaurants
Χοχλιδάκι,37.9996,23.772747,restaurants
Ντεμέκ Μεζεδοπωλείο,38.031431,23.736311,restaurants
Το Δραμι,37.987648,23.659321,restaurants
Junction in the yard,37.975018,23.767372,restaurants
Foofootos,37.982614,23.770476,restaurants
Qassabah,37.976423,23.776368,restaurants
Το Παραδοσιακο Ψητοπωλειο Του Ζωγραφου,37.972647,23.779412,restaurants
Τοξότης,37.972985,23.650217,restaurants
Φυσαρμόνικα Μεζεδοποτείον,38.000924,23.787988,restaurants
Λαδόκολλα Μπάρμπα Μήτσος,37.929849,23.719228,restaurants
Leonidas Chocolate Café,38.012213,23.786408,restaurants
Pizzaiolo,38.000479,23.792981,restaurants
Έξη - Exi Bakery & Cafe,37.930983,23.754093,restaurants
Peperi (Πέπερι),38.043387,23.75313,restaurants
Gym,37.984987,23.721305,gym
Gym,37.989306,23.741411,gym
BodyShape gym,37.988725,23.722794,gym
Gym Spot,37.978294,23.710977,gym
Athlesis Gym,37.978891,23.739733,gym
Hyper Progressive GYM,37.978817,23.765505,gym
Golden Gym,37.997385,23.737107,gym
Golden Gym,38.016128,23.754384,gym
Avelkiou Gym,38.011969,23.751513,gym
Guinness Gym,37.988397,23.760628,gym
FitnessPlus Gym,37.968445,23.753924,gym
Pagratio Gym,37.962964,23.741665,gym
Corpus Gym,37.946187,23.71699,gym
Gyzi Base Gym George Papadimakis,37.989864,23.747468,gym
Pitbull Gym,37.955239,23.711949,gym
'Gym Fanatic' Fitness Club,37.955039,23.736432,gym
Adidas Runbase,37.966386,23.728397,gym
Holmes Place,37.976885,23.734476,gym
Reebok CrossFit Primal,37.956254,23.677409,gym
The Concept Ταυρος,37.964853,23.699241,gym
Personal Studio by George Papadimakis,37.988509,23.748977,gym
The Fitting Room,37.976185,23.742662,gym
Royal CrossFit,38.007911,23.708343,gym
Zarou Zone,37.977417,23.707973,gym
Exclusive Fitness Box Philadelphia,38.038522,23.745163,gym
Icon Fitness - Chalandri,38.014801,23.790437,gym
Cross Training Club,37.941973,23.7139,gym
Gazibox Crossfit,37.975108,23.707283,gym
2 Be Fit,37.991447,23.67824,gym
The concept group fitness terminals,37.935266,23.743673,gym
Corpo Fitness Studio,37.926676,23.690724,gym
Crossfit Psychiko Nine 76,38.000018,23.773418,gym
Heartbeat Training Studio,37.929384,23.703034,gym
Cross Garage,37.987049,23.765304,gym
The cor of fitness,38.042486,23.688727,gym
Reborn Training,37.953934,23.713768,gym
Yava Fitness Center - Burnazi,38.014755,23.707762,gym
Twins Fit Aliki & Maria Dimakopoulou,37.926267,23.743368,gym
Personal Group by George Papadimakis (Γυμναστήριο),37.9965,23.772518,gym
La Fitness,38.051837,23.766805,gym
Melekos Health Club,37.913118,23.743606,gym
Κολυμβητήριο Ηλιούπολης,37.924731,23.761878,gym
Fitness Elite,37.952912,23.71591,gym
Studio Kinisis,38.038789,23.774528,gym
Fitness Games,37.953234,23.710036,gym
CrossFit North Zone,38.010233,23.851174,gym
Workout Hall,37.91326,23.736141,gym
CrossFit Piraeus,37.952157,23.63632,gym
Alterlife Boutique - Stavros,38.009816,23.847018,gym
New Yorkers Fitness Club,38.033366,23.825763,gym
Εθνικό Ωδείο Αθηνών,37.973406,23.744508,Schools
Προγράμματα Ενηλίκων Κολλέγιο Αθηνών-Ψυχικού,38.01826,23.780808,Schools
Αρσάκεια Σχολεία Ψυχικού,38.013953,23.778277,Schools
"Δημοτικό Κολυμβητήριο Βύρωνα "" Χρήστος Ταμπαξης """,37.958302,23.768212,Schools
Moraitis School (Σχολή Μωραΐτη),38.011916,23.776067,Schools
Λεόντειο Λύκειο - Εκπαιδευτήριο Χρυσόστομος Σμύρνης,37.944226,23.705274,Schools
St Catherines British Embassy School,38.074262,23.791745,Schools
Εράσμειος Ελληνογερμανική Σχολή,37.98035,23.855068,Schools
Μποδοσάκειο,37.98216,23.864579,Schools
Ελληνογερμανική Αγωγή,37.998065,23.892872,Schools
Εκπαιδευτήρια Καίσαρη,37.866425,23.821297,Schools
Εκπαιδευτήρια Δούκα,38.039688,23.820266,Schools
Εκπαιδευτηρια Ο Πλατων,38.005573,23.846944,Schools
Goethe-Institut Athen,37.978878,23.735026,Schools
Κέντρο Ξένων Γλωσσών Χέλμης,37.964806,23.724483,Schools
1ος ΔΗΜΟΤΙΚΟΣ ΠΑΙΔΙΚΟΣ ΣΤΑΘΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ,37.984672,23.753779,Schools
65th High School,38.015216,23.725342,Schools
7ο Γυμνάσιο Αθήνας (Παγκράτι),37.969213,23.747421,Schools
11ο Δημοτικό Περιστερίου,38.01737,23.703962,Schools
ΙΕΚ ΟΑΕΔ Αιγάλεω,37.997435,23.679393,Schools
Ελεύθερο Ωδείο,37.986429,23.762728,Schools
ΙΕΚ Αιγάλεω,37.980926,23.673037,Schools
Ευρωγνωση,37.959479,23.751631,Schools
Ε.Κ.Π.Α.,37.983488,23.768977,Schools
1ο & 19ο Δημοτικό σχολείο,37.979099,23.76926,Schools
12 Δημοτικό Σχολείο Καλλιθέας,37.951458,23.688342,Schools
1ο Νηπιαγωγείο Αθηνών,38.028939,23.739174,Schools
7ο & 15ο Δημοτικά Σχολεία Νέας Σμύρνης,37.939019,23.722143,Schools
3ο 4ο Δημοτικο Σχολειο Ν. Ψυχικο,37.998273,23.779061,Schools
3ο Δημοτικό Σχολείο Αγίου Δημητρίου,37.936664,23.727438,Schools
ΙΕΚ Ζωγράφου,37.973248,23.780809,Schools
Ευαγγελική Σχολή,37.931476,23.713284,Schools
6ο Δημοτικό σχολείο Ν.Ιωνίας,38.036045,23.758556,Schools
10ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,37.927718,23.699969,Schools
9ο Νηπιαγωγείο Αγίου Δημητρίου,37.926181,23.731649,Schools
Γεννάδειος Σχολή,37.918221,23.722877,Schools
Εκπαιδευτήρια Μαλλιάρα,37.917487,23.715056,Schools
5o Γενικό Λύκειο Νίκαιας,37.987016,23.627604,Schools
4o Λύκειο Νέου Ηρακλείου,38.044143,23.777028,Schools
15ο Δημοτικό σχολείο Ηλιούπολης,37.91856,23.753842,Schools
2ο Δημοτικό Σχολείο Χαλανδρίου Λίτσειο,38.022289,23.805846,Schools
Μουσική Σχολή - Ήχων Εύρυθμων 2,37.952681,23.630079,Schools
33ο Δημοτικό Σχολείο Πειραιά,37.934526,23.640844,Schools
2ο Ενιαίο Λύκειο Αγίας Παρασκευής,38.016914,23.819291,Schools
Λουλουδότοπος - Louloudotopos,38.007153,23.8232,Schools
Lab Music Education,38.013495,23.822266,Schools
Εκπαιδευτήρια Γεωργίου Ζώη,37.899054,23.751309,Schools
5ο Δημοτικό Σχολείο Χαλανδρίου,38.024173,23.826433,Schools
Lycée Franco-Hellénique Eugène Delacroix,38.010501,23.83653,Schools
"Σχολείο Κωφών και Βαρυκόων, Κοντόπευκο",38.021879,23.832685,Schools
National Garden (Εθνικός Κήπος),37.97345,23.737892,Others
Concert Hall Gardens (Κήπος Μεγάρου Μουσικής Αθηνών),37.98167,23.75306,Others
Άλσος Λυκαβηττού,37.984042,23.741339,Others
Nea Smirni Grove (Άλσος Νέας Σμύρνης),37.949762,23.716308,Others
Stavros Niarchos Park (Πάρκο Σταύρος Νιάρχος),37.941364,23.692307,Others
Great Lawn (SNFCC) (Ξέφωτο (ΚΠΙΣΝ)),37.93995,23.69187,Others
Veikou Grove (Άλσος Βεΐκου),38.02831,23.764326,Others
Αττικό Άλσος,38.003376,23.760363,Others
Skopeftirio Grove (Άλσος Σκοπευτηρίου),37.964858,23.762114,Others
Άλσος Περιστερίου,38.018005,23.683289,Others
Άλσος Παπάγου,37.99336,23.794187,Others
Άλσος Ψυχικού,38.011131,23.775958,Others
Flisvos Park (Πάρκο Φλοίσβου),37.927885,23.688284,Others
Άλσος Φιλοθέης,38.022022,23.779723,Others
Άλσος Πετρούπολης,38.044641,23.685965,Others
Άλσος Συγγρού,37.97403,23.757275,Others
Πάρκο Ηρώδου Αττικού,37.975757,23.719282,Others
St. George's Park - Trocadero (Πάρκο Αγίου Γεωργίου - Τροκαντερό),37.933492,23.690089,Others
Πάρκο περιβαλλοντικής ευαισθητοποίησης 'Αντώνης Τρίτσης',38.044927,23.724162,Others
Pani Hill (Λόφος Πανί),37.913153,23.730729,Others
Άλσος Προμπονά,38.031098,23.73995,Others
Πάρκο Αλίμου,37.910622,23.71057,Others
Πάρκο Ελευθερίας,37.983095,23.753207,Others
Petroupoli Park,38.036012,23.689343,Others
Esplanada (Εσπλανάδα),37.936128,23.691079,Others
Κηποθέατρο Παπάγου,37.992607,23.796031,Others
Άλσος Γουδή,37.98444,23.773745,Others
Πάρκο Κεραμεικού,37.977672,23.715254,Others
Άλσος Περιπάτου,37.982779,23.791054,Others
Κτήμα Συγγρού,38.061566,23.815806,Others
Kaisariani Municipal Park (Δημοτικό Πάρκο Καισαριανής),37.966439,23.773148,Others
Άλσος Μιχάλη Πουλάκη,38.022205,23.780066,Others
Mikis Theodorakis Park (Πάρκο Μίκης Θεοδωράκης),38.03749,23.836207,Others
Πάρκο Αγίας Φιλοθέης,38.028222,23.783843,Others
Δάσος Καισαριανής,37.9617,23.797321,Others
Αττικό Πάρκο Βριλησσίων-Χαλανδρίου,38.028791,23.825478,Others
Kifissia Grove (Άλσος Κηφισιάς),38.072956,23.809053,Others
Άλσος Αιγάλεω Μπαρουτάδικο,37.994217,23.676529,Others
Αρχαιολογικό Πάρκο Ακαδημίας Πλάτωνος,37.992384,23.709071,Others
Άλσος Διονύσου,38.013071,23.757206,Others
Σελεπίτσαρι,37.966777,23.627157,Others
Προφήτης Ηλίας,38.007817,23.657782,Others
Πάρκο Σχολής Χωροφυλακής,37.989818,23.770735,Others
Πρότυπο Οικογενειακό Πάρκο Αργυρούπολης-Ελληνικού,37.91478,23.751067,Others
Άλσος Αγίου Φιλίππου,37.973721,23.637002,Others
Πάρκο Σκύλων,37.996163,23.801193,Others
Άλσος Χολαργού,37.996297,23.803012,Others
Κτήμα Τατοΐου,38.15697,23.794545,Others
Παλατάκι Χαϊδαρίου,38.011658,23.663707,Others
Allou! Fun Park,37.973505,23.672893,Others
Panathenaic Stadium (Παναθηναϊκό Στάδιο (Καλλιμάρμαρο)),37.968334,23.741112,Others
Karaiskaki Stadium (Στάδιο Καραϊσκάκη),37.946518,23.66423,Others
"Στάδιο ΑΕΚ ""Αγιά Σοφιά""",38.036954,23.74142,Others
Apostolos Nikolaidis Stadium (Γήπεδο Απόστολος Νικολαΐδης),37.9872,23.754179,Others
Olympic Indoor Basketball Arena (Ολυμπιακό Κλειστό Γήπεδο Καλαθοσφαίρισης),38.037716,23.784694,Others
Nova Tennis Club,37.999309,23.779354,Others
K1 & K2 Oaka,38.041767,23.787371,Others
Athens Sports Hall Center,37.994991,23.712382,Others
Olympic Stadium (Ολυμπιακό Στάδιο),38.036789,23.78762,Others
Θύρα 7,37.946753,23.664564,Others
Olympic Aquatic Center (Ολυμπιακό Κέντρο Υγρού Στίβου),38.038269,23.782994,Others
Milonas Tennis Club,37.942141,23.709772,Others
SEF - Peace & Friendship Stadium (ΣΕΦ - Στάδιο Ειρήνης & Φιλίας),37.942519,23.667235,Others
Maroussi Tennis Club,38.046034,23.82551,Others
"Κλειστό Γήπεδο Παλαιού Φαλήρου ""Σοφία Μπεφόν""",37.932927,23.689318,Others
Filothei Tennis Club,38.027526,23.782263,Others
Acharnai Tennis Academy,38.090933,23.759661,Others
Δημοτικό Αθλητικό Κέντρο Περιστερίου - Γήπεδο Χωράφας,38.028926,23.678498,Others
Τάφος Του Ινδού,37.986867,23.755308,Others
Δημοτικό Στάδιο Νέας Ερυθραίας Φώτης Βαρδαξής,38.108576,23.822556,Others
Glyfada Track Stadium (Γήπεδο Στίβου Γλυφάδας),37.870698,23.753756,Others
ΕΑΚ Αθλητικές Εγκαταστάσεις,37.998452,23.678567,Others
Olympic Tennis Center (Ολυμπιακό Κέντρο Αντισφαίρισης),38.03965,23.791602,Others
Αθλητικό Κέντρο Ραδιοφωνίας,38.03775,23.708141,Others
Δημοτικό Στάδιο Καλλιθέας Γρηγόρης Λαμπράκης,37.959992,23.714824,Others
Α' Δημοτικό Στάδιο Αργυρούπολης,37.897914,23.756272,Others
Aerial Dance by Katerina Soldatou,38.039034,23.782684,Others
Κλειστό Γυμναστήριο Πετρούπολης,38.043843,23.690705,Others
"Κλειστό ΑΣ ΠΑΠΑΓΟΥ ""Σαλούν""",37.988832,23.786915,Others
Κλειστό Γυμναστήριο Γαλατσίου,38.027969,23.763617,Others
Chalikaki Athletic Centre (Αθλητικό Κέντρο Χαλικάκι),37.945008,23.752705,Others
Τέννις Νέας Ερυθραίας,38.099857,23.813278,Others
Δημοτικό Στάδιο Χαλανδρίου «Νικόλαος Πέρκιζας»,38.033235,23.824479,Others
Olympic Sports Center Athens,38.04234,23.782869,Others
Κλειστό Γήπεδο Ψυχικού,38.009057,23.770352,Others
Θεμιστόκλειο Στάδιο,37.958901,23.630058,Others
Δημοτικό Αθλητικό Κέντρο Κορυδαλλού,37.983181,23.651511,Others
Κλειστό Γυμναστήριο Ιωνικός Ζαχαρίας Αλεξάνδρου,38.034523,23.735428,Others
Δημοτικό Γήπεδο Παλλήνης,38.005839,23.872479,Others
Κλειστό Γυμναστήριο Δάφνης «Μιχάλης Μουρούτσος»,37.946268,23.730508,Others
Δημοτικό Γήπεδο Χολαργού,38.001699,23.808891,Others
Δημοτικό Στάδιο Φιλοθέης,38.026972,23.780821,Others
VIP Lounge,37.9465,23.664407,Others
"Κλειστό Περιστερίου ""Ανδρέας Παπανδρέου""",38.004072,23.6893,Others
Spata Municipal Stadium (Δημοτικό Στάδιο Σπάτων Δημήτρης Δημητρίου),37.96735,23.905705,Others
Γήπεδο Μαραθώνα,38.151578,23.961334,Others
Κλειστό Δημοτικό Γυμναστήριο Ραφήνας,38.014734,24.010895,Others
Olympic Velodrome (Ολυμπιακό Ποδηλατοδρόμιο),38.04018,23.780371,Others
Στάδιο Νέας Σμύρνης,37.94345,23.708881,Others
Δημοτικό Στάδιο Ζωγράφου,37.979474,23.770996,Others
The Clumsies,37.978934,23.730015,Bar
CV Distiller,37.976233,23.751668,Bar
Warehouse Speciality Blends,37.984256,23.736908,Bar
Vintage Wine Bar & Bistro,37.975963,23.728663,Bar
Upupa Epops - The Bar,37.974172,23.710398,Bar
Μπλε Παπαγάλος,37.982826,23.720201,Bar
Jazz In Jazz,37.979262,23.742657,Bar
The Local Pub,38.021022,23.801875,Bar
Scala Vinoteca,37.981609,23.738168,Bar
Bootleg,38.004176,23.796442,Bar
Β Κουτί,38.035295,23.735777,Bar
Corks & Forks,37.931472,23.645836,Bar
Επί της Δεξαμενής cafe cocktail bar,37.965842,23.709983,Bar
Βιλατζ,37.997651,23.735419,Bar
BARATIN Drink & Dine Home Bar,38.035664,23.738825,Bar
Brokies MoodBar,37.991117,23.849702,Bar
Paleo,37.950282,23.642727,Bar
Malt,37.976511,23.650327,Bar
Moorings Cafe Bar Restaurant,37.953491,23.736698,Bar
Little Tree Books & Coffee,37.968316,23.72736,Bar
Τα Καραμανλιδικα Του Φανη,37.979968,23.725805,Bar
GB Roof Garden Restaurant,37.9762,23.735449,Bar
Lotte,37.967143,23.727031,Bar
Yiasemi (Γιασεμί),37.973493,23.727897,Bar
Ρακορ,37.980504,23.717213,Bar
Espressaki,37.983553,23.760427,Bar
Grand Bretagne Hotel Athens,37.9762,23.735449,Bar
Drupes & Drips,37.967864,23.726719,Bar
Momo,37.957146,23.701324,Bar
Mind The Cup,38.011807,23.693201,Bar
Superfly Cafe,37.965026,23.743627,Bar
Άμα Λάχει στης Νεφέλης,37.987919,23.736821,Bar
Mr Vertigo,37.976707,23.741284,Bar
Πορτατίφ,37.981461,23.737324,Bar
Feyrouz,37.978241,23.727821,Bar
Στάνη Γαλακτοπωλείο,37.985465,23.727693,Bar
Sushimou,37.974472,23.732407,Bar
Λάικα,37.98295,23.711553,Bar
Μέντα,38.070985,23.812476,Bar
Elvis (Έλβις),37.981185,23.716327,Bar
Match Point,37.991636,23.730872,Bar
Stylitis (Στυλίτης),37.968242,23.762754,Bar
Της Θεάτρου Το Στέκι,37.980571,23.725487,Bar
Press Cafe,37.971547,23.745,Bar
Falafellas,37.978356,23.727915,Bar
Simul,37.977926,23.750412,Bar
Qahwa Coffee Bar,37.991625,23.677926,Bar
Temple of Hephaistos (Ναός Ηφαίστου),37.97553,23.721606,Bar
Lefkes (Λεύκες),38.013535,23.75072,Bar
Kaya,37.976926,23.733331,Bar
